id,FacultyName,Type,ProgramName ,ProgramUrl
62,Faculty of Medical Sciences,Undergraduate,('\n8. B.Sc. Human Biology (Special) Degree course\xa0(04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#med
63,Faculty of Medical Sciences,Undergraduate,('\n9. B.Sc. Human Biology (General) Degree course\xa0(03 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#med
64,Faculty of Technology,Undergraduate,('1. Bachelor of Engineering Technology in Enery and Environment (04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
65,Faculty of Technology,Undergraduate,('\n2. Bachelor of Engineering Technology in Mechatronic\xa0(04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
66,Faculty of Technology,Undergraduate,('\n3. Bachelor of Engineering Technology in Corstnaction& Building Services (04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
67,Faculty of Technology,Undergraduate,('\n4. Bachelor of Engineering Technology in Archaeotechnology\xa0(04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
68,Faculty of Technology,Undergraduate,('\n5. Bachelor of Biosystems Technology in Bio Process (04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
69,Faculty of Technology,Undergraduate,('\n6. Bachelor of Biosystems Technology in Polymer Process\xa0(04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
70,Faculty of Technology,Undergraduate,('\n7. Bachelor Information Communication Technology in Networking (04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
71,Faculty of Technology,Undergraduate,('\n8. Bachelor of Information Communication Technology inSoftware (04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
72,Faculty of Technology,Undergraduate,('\n9. Bachelor of Information Communication Technology in Multimedia (04 years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
73,Faculty of Engineering,Undergraduate,('Bachelor of the Science of Engineering',https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
74,Faculty of Engineering,Undergraduate,('1. Civil Engineering (04 Years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
75,Faculty of Engineering,Undergraduate,('2. Computer Engineering (04 Years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
76,Faculty of Engineering,Undergraduate,('3. Electrical and Electronic Engineering (04 Years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
77,Faculty of Engineering,Undergraduate,('\n4. Mechanical Engineering (04 Years)',https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
78, Humanities,Postgraduate,('POST GRADUATE DIPLOMA IN WRITERSHIP AND COMMUNICATION ',http://graduate.sjp.ac.lk/humanities/
79, Social Sciences,Postgraduate,('Forestry and Environmental Management',['http://graduate.sjp.ac.lk/forestry-and-environmental-management/']
80, Life Sciences,Postgraduate,('Postgraduate Certificate in Applied Statistics',http://graduate.sjp.ac.lk/physical-sciences/
81, Life Sciences,Postgraduate,('Postgraduate Diploma in Applied Statistics',http://graduate.sjp.ac.lk/physical-sciences/
82, Life Sciences,Postgraduate,('PG Diploma in Industrial Mathematics',http://graduate.sjp.ac.lk/physical-sciences/
83, Life Sciences,Postgraduate,('PG Diploma in\xa0\xa0 Industrial Analytical Chemistry',http://graduate.sjp.ac.lk/physical-sciences/
84, Life Sciences,Postgraduate,('Computer Science',http://graduate.sjp.ac.lk/physical-sciences/
85, Life Sciences,Postgraduate,('Master in Applied Statistics – Plan A,http://graduate.sjp.ac.lk/physical-sciences/
86, Life Sciences,Postgraduate,('Master in Applied Statistics – Plan B,http://graduate.sjp.ac.lk/physical-sciences/
87, Life Sciences,Postgraduate,('Master in Industrial Mathematics',http://graduate.sjp.ac.lk/physical-sciences/
88, Life Sciences,Postgraduate,('Master in Industrial Analytical Chemistry',http://graduate.sjp.ac.lk/physical-sciences/
89, Life Sciences,Postgraduate,('Computer Science',http://graduate.sjp.ac.lk/physical-sciences/
90, Life Sciences,Postgraduate,('Polymer Science and Technology',http://graduate.sjp.ac.lk/physical-sciences/
91, Life Sciences,Postgraduate,('Chemistry',http://graduate.sjp.ac.lk/physical-sciences/
92, Life Sciences,Postgraduate,('Mathematics',http://graduate.sjp.ac.lk/physical-sciences/
93, Life Sciences,Postgraduate,('Physics',http://graduate.sjp.ac.lk/physical-sciences/
94, Life Sciences,Postgraduate,('Statistics and Computer Science',http://graduate.sjp.ac.lk/physical-sciences/
95, Life Sciences,Postgraduate,('Information System',http://graduate.sjp.ac.lk/physical-sciences/
96, Physical Sciences,Postgraduate,('MBA/MSc in Management Programs.',http://graduate.sjp.ac.lk/management-and-commerce/
97, Physical Sciences,Postgraduate,('Master’s Degree in Entrepreneurship',http://graduate.sjp.ac.lk/management-and-commerce/
98, Physical Sciences,Postgraduate,('M.Sc./Postgraduate Diploma in Applied Finance.',http://graduate.sjp.ac.lk/management-and-commerce/
99, Physical Sciences,Postgraduate,('M.Sc./Postgraduate Diploma in Real Estate Management & Valuation (REMV).',http://graduate.sjp.ac.lk/management-and-commerce/
100, Physical Sciences,Postgraduate,('Master of Professional Accounting (MPAcc) Degree Programe',http://graduate.sjp.ac.lk/management-and-commerce/
101, Physical Sciences,Postgraduate,('Postgraduate Diploma in Marketing Management.',http://graduate.sjp.ac.lk/management-and-commerce/
102, Physical Sciences,Postgraduate,('Postgraduate Diploma in\xa0Entrepreneurial Business Management (PGD-EBM).',http://graduate.sjp.ac.lk/management-and-commerce/
103, Management Studies & Commerce,Postgraduate,('5.1.1 Postgraduate Diploma in Monitoring and \xa0Evaluation',http://graduate.sjp.ac.lk/medical-sciences/
104,Humanities and Social Sciences,External,('Bachelor of Humanities and Social Sciences (General) External Degree',http://external.sjp.ac.lk/degree/bachelor-of-humanities-and-social-sciences-general-external-degree/
105,Business Administration,External,('Bachelor of Science Business Administration (General) External Degree Programme',http://external.sjp.ac.lk/degree/bachelor-of-science-business-administration-general-external-degree-programme/
106,Bachelor of Commerce,External,('Bachelor of Commerce (General) External Degree',http://external.sjp.ac.lk/degree/bachelor-of-commerce-general-external-degree/
107,Management (Public),External,('Bachelor of Science Management (Public) General (External) Degree',http://external.sjp.ac.lk/degree/bachelor-of-science-management-public-general-external-degree/
108,Environment and  Development  Studies,External,('Bachelor of Social Sciences (General) External Degree in Environment and Development Studies',http://external.sjp.ac.lk/degree/bachelor-of-social-sciences-general-external-degree-in-environment-and-development-studies/
109,Bachelor Of Arts In English,External,('Bachelor Of Arts In English (General) External Degree',http://external.sjp.ac.lk/degree/bachelor-of-arts-general-external-degree-in-english/
